accuracy,utilisation,loss,layers,hash
84.4774814167031,1105,42.273,"[548, 211, 173, 173]",b73d5f5e79c07620190ba58e8c0a08f6
87.09371811689257,1105,43.581,"[547, 210, 174, 174]",65a6e6b1d141ccf985e62f046333451d
77.41947238011952,1105,38.744,"[634, 297, 87, 87]",96d47fc737893f23d122732e12a019c8
81.47378904921537,1105,40.771,"[635, 298, 86, 86]",45f9a164352502acb4c50c12fbb3fc20
86.78278190739931,1105,43.426,"[546, 209, 175, 175]",9cd6c116d0c9fa806809491edac2ec1b
79.1478404508575,1105,39.608,"[636, 299, 85, 85]",fe0c726ae599c14c56d212a72cc4ced1
83.10984793276005,1105,41.589,"[637, 300, 84, 84]",eb4e5beceab47892bf400c831ace8a47
88.45892241169898,1105,44.264,"[545, 208, 176, 176]",9da4e817319049c8c48024a84cb221a3
81.97906038964194,1105,41.024,"[638, 301, 83, 83]",2a52e2ecfe2ff077ba7f5a1b31fd73f8
86.72326677355099,1105,43.396,"[639, 302, 82, 82]",6acfd46e46d1beb4116fff1713d432b2
85.07627653889132,1105,42.573,"[544, 207, 177, 177]",a22e2ae6620690f0219a0554faaf2944
82.05679444201526,1105,41.063,"[543, 206, 178, 178]",6c5db35b76379099deac9d4e1c2d3907
86.99047757858426,1105,43.53,"[542, 205, 179, 179]",960e3e449a185ab741153f4667f35c94
85.02647816158967,1105,42.548,"[640, 303, 81, 81]",4017b66c8a640c5a36b969c4c0672636
83.89569061847155,1105,41.982,"[641, 304, 80, 80]",cabbd98ce44deb3e2e7d9f615664a645
86.21921002769275,1105,43.144,"[642, 305, 79, 79]",c1eee04e5b03fb269dfaf2cccb1a90e5
